Problem Name,Topic,Pattern,LeetCode Link,GFG Link
Unique Paths,Dynamic Programming,Grid DP,https://leetcode.com/problems/unique-paths/,
Unique Paths II,Dynamic Programming,Grid DP with Obstacles,https://leetcode.com/problems/unique-paths-ii/,
Minimum Path Sum,Dynamic Programming,Grid DP,https://leetcode.com/problems/minimum-path-sum/,
Triangle Minimum Path Sum,Dynamic Programming,Grid DP,https://leetcode.com/problems/triangle/,
Minimum Falling Path Sum,Dynamic Programming,Grid DP,https://leetcode.com/problems/minimum-falling-path-sum/,
Cherry Pickup (3D DP),Dynamic Programming,3D DP,https://leetcode.com/problems/cherry-pickup/,
Subset Sum Equals to K,Dynamic Programming,Subset Sum DP,,
Partition Equal Subset Sum,Dynamic Programming,Subset Sum DP,https://leetcode.com/problems/partition-equal-subset-sum/,
Count Subsets with Sum K,Dynamic Programming,Subset Sum DP,,https://www.geeksforgeeks.org/problems/perfect-sum-problem5633/1
Partition Set Into 2 Subsets with Min Absolute Diff,Dynamic Programming,Subset Sum DP,,https://www.geeksforgeeks.org/problems/minimum-sum-partition3317/1
Count Partitions with Given Difference,Dynamic Programming,Subset Sum DP,,https://www.geeksforgeeks.org/problems/partitions-with-given-difference/1
0/1 Knapsack,Dynamic Programming,Knapsack DP,,https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1
Coin Change (Minimum Coins),Dynamic Programming,Unbounded Knapsack,https://leetcode.com/problems/coin-change/,
Coin Change II (Ways),Dynamic Programming,Unbounded Knapsack,https://leetcode.com/problems/coin-change-ii/,
Rod Cutting,Dynamic Programming,Unbounded Knapsack,,https://www.geeksforgeeks.org/problems/rod-cutting0840/1
Longest Common Subsequence,Dynamic Programming,String DP,https://leetcode.com/problems/longest-common-subsequence/,
Print LCS,Dynamic Programming,String DP,,
Longest Common Substring,Dynamic Programming,String DP,,https://www.geeksforgeeks.org/problems/longest-common-substring1452/1
Longest Palindromic Subsequence,Dynamic Programming,String DP,https://leetcode.com/problems/longest-palindromic-subsequence/,
Minimum Insertions to Make String Palindrome,Dynamic Programming,String DP,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/,
Delete Operation for Two Strings,Dynamic Programming,String DP,https://leetcode.com/problems/delete-operation-for-two-strings/,
Shortest Common Supersequence,Dynamic Programming,String DP,https://leetcode.com/problems/shortest-common-supersequence/,
Distinct Subsequences,Dynamic Programming,String DP,https://leetcode.com/problems/distinct-subsequences/,
Edit Distance,Dynamic Programming,String DP,https://leetcode.com/problems/edit-distance/,
Wildcard Matching,Dynamic Programming,String DP,https://leetcode.com/problems/wildcard-matching/,
Best Time to Buy and Sell Stock II,Dynamic Programming,Stock DP,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,
Best Time to Buy and Sell Stock III,Dynamic Programming,Stock DP,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,
Best Time to Buy and Sell Stock IV,Dynamic Programming,Stock DP,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,
Best Time to Buy and Sell Stock with Cooldown,Dynamic Programming,Stock DP,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,
Best Time to Buy and Sell Stock with Transaction Fee,Dynamic Programming,Stock DP,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,
Longest Increasing Subsequence (LIS),Dynamic Programming,LIS DP,https://leetcode.com/problems/longest-increasing-subsequence/,
Print LIS,Dynamic Programming,LIS DP,,
LIS using Binary Search,Dynamic Programming,LIS DP + Binary Search,https://leetcode.com/problems/longest-increasing-subsequence/,
Largest Divisible Subset,Dynamic Programming,LIS Variation,https://leetcode.com/problems/largest-divisible-subset/,
Longest String Chain,Dynamic Programming,LIS Variation,https://leetcode.com/problems/longest-string-chain/,
Longest Bitonic Subsequence,Dynamic Programming,LIS Variation,,https://www.geeksforgeeks.org/problems/longest-bitonic-subsequence0824/1
Number of Longest Increasing Subsequence,Dynamic Programming,LIS DP,https://leetcode.com/problems/number-of-longest-increasing-subsequence/,
Matrix Chain Multiplication,Dynamic Programming,Partition DP,,https://www.geeksforgeeks.org/problems/matrix-chain-multiplication0303/1
Minimum Cost to Cut Stick,Dynamic Programming,Partition DP,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/,
Burst Balloons,Dynamic Programming,Partition DP,https://leetcode.com/problems/burst-balloons/,
Palindrome Partitioning II,Dynamic Programming,Partition DP,https://leetcode.com/problems/palindrome-partitioning-ii/,
Partition Array for Maximum Sum,Dynamic Programming,Partition DP,https://leetcode.com/problems/partition-array-for-maximum-sum/,
Maximum Rectangle Area with all 1's,Dynamic Programming,Maximal Rectangle DP,https://leetcode.com/problems/maximal-rectangle/,
Count Square Submatrices with all 1s,Dynamic Programming,DP on Grid,https://leetcode.com/problems/count-square-submatrices-with-all-ones/,
Minimum Cost Path (Grid),Dynamic Programming,Grid DP,,https://www.geeksforgeeks.org/problems/minimum-cost-path3833/1
Minimum Falling Path Sum II,Dynamic Programming,Grid DP,https://leetcode.com/problems/minimum-falling-path-sum-ii/,
Maximum Sum of Non-Adjacent Elements (Stickler Thief),Dynamic Programming,DP on Array,,https://www.geeksforgeeks.org/problems/stickler-theif-1587115621/1
Implement Trie (Prefix Tree),Trie,Trie Implementation,https://leetcode.com/problems/implement-trie-prefix-tree/,
Implement Trie - II (Count Words),Trie,Trie Design,,
Longest Word in Dictionary,Trie,Trie + Sorting,https://leetcode.com/problems/longest-word-in-dictionary/,
Number of Distinct Substrings in a String,Trie,Count Substrings,,https://www.geeksforgeeks.org/problems/count-of-distinct-substrings/1
Maximum XOR of Two Numbers in an Array,Trie,Bit Trie,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,
Power Set (Subsets),Recursion / Backtracking,Recursion / Iterative,https://leetcode.com/problems/subsets/,
Subsets II,Recursion / Backtracking,Recursion + Avoid Duplicates,https://leetcode.com/problems/subsets-ii/,
Combination Sum I,Recursion / Backtracking,Combination Sum,https://leetcode.com/problems/combination-sum/,
Combination Sum II,Recursion / Backtracking,Combination Sum + No Reuse,https://leetcode.com/problems/combination-sum-ii/,
Combination Sum III,Recursion / Backtracking,Combination Sum k numbers,https://leetcode.com/problems/combination-sum-iii/,
Palindrome Partitioning,Recursion / Backtracking,Partitioning,https://leetcode.com/problems/palindrome-partitioning/,
Permutations I,Recursion / Backtracking,All Arrangements,https://leetcode.com/problems/permutations/,
Permutations II,Recursion / Backtracking,Unique Permutations,https://leetcode.com/problems/permutations-ii/,
N-Queens,Recursion / Backtracking,Constraint Satisfaction,https://leetcode.com/problems/n-queens/,
Word Break (Backtracking),Recursion / Backtracking,Word Segmentation,https://leetcode.com/problems/word-break/,
Sudoku Solver,Recursion / Backtracking,Constraint Satisfaction,https://leetcode.com/problems/sudoku-solver/,
M-Coloring Problem,Recursion / Backtracking,Graph Coloring,,https://www.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1
Rat in a Maze,Recursion / Backtracking,Grid Pathfinding,,https://www.geeksforgeeks.org/problems/rat-in-a-maze-problem/1
K-th Permutation Sequence,Recursion / Backtracking,Math + Recursion,https://leetcode.com/problems/permutation-sequence/,
Bit Manipulation Introduction,Bit Manipulation,Bit Basics,,
Check if i-th Bit is Set,Bit Manipulation,Bit Mask,,
Set i-th Bit,Bit Manipulation,Bit Mask,,
Clear i-th Bit,Bit Manipulation,Bit Mask,,
Toggle i-th Bit,Bit Manipulation,Bit Mask,,
Remove Last Set Bit,Bit Manipulation,Bit Trick,,
Count Set Bits,Bit Manipulation,Bit Count,https://leetcode.com/problems/number-of-1-bits/,
Power of Two,Bit Manipulation,Bit Check,https://leetcode.com/problems/power-of-two/,
Single Number,Bit Manipulation,XOR,https://leetcode.com/problems/single-number/,
Single Number II,Bit Manipulation,Bit Count/State,https://leetcode.com/problems/single-number-ii/,
Single Number III,Bit Manipulation,XOR + Bucket,https://leetcode.com/problems/single-number-iii/,
Divide Two Integers,Bit Manipulation,Bit Shifts,https://leetcode.com/problems/divide-two-integers/,
Minimum Bit Flips to Convert Number,Bit Manipulation,XOR,https://leetcode.com/problems/minimum-bit-flips-to-convert-number/,
Power Set using Bit Manipulation,Bit Manipulation,Bit Masking,https://leetcode.com/problems/subsets/,
XOR of 1 to N,Bit Manipulation,XOR Pattern,,
Two Numbers with Odd Occurrences,Bit Manipulation,XOR Buckets,,https://www.geeksforgeeks.org/problems/two-numbers-with-odd-occurrences5846/1
XOR of a Given Range,Bit Manipulation,Prefix XOR,,
All Divisors of a Number,Basic Math,Math Fundamentals,,https://www.geeksforgeeks.org/problems/all-divisors-of-a-number/1
Check Prime,Basic Math,Math,,
Sieve of Eratosthenes,Basic Math,Prime Generation,,https://www.geeksforgeeks.org/problems/sieve-of-eratosthenes5242/1
Prime Factorisation,Basic Math,Math,,
Pow(x,n),Basic Math,Binary Exponentiation,https://leetcode.com/problems/powx-n/,
Count Primes,Basic Math,Sieve,https://leetcode.com/problems/count-primes/,
GCD / LCM,Basic Math,Euclidean Algorithm,,https://www.geeksforgeeks.org/problems/lcm-and-gcd4516/1
Armstrong Numbers,Basic Math,Math,,https://www.geeksforgeeks.org/problems/armstrong-numbers2727/1
Palindrome Number,Basic Math,Math,https://leetcode.com/problems/palindrome-number/,
Reverse Integer,Basic Math,Math Overflow Handle,https://leetcode.com/problems/reverse-integer/,
Count Digits,Basic Math,Math,,https://www.geeksforgeeks.org/problems/count-digits5716/1
Merge Sort,Sorting,Divide and Conquer,,https://www.geeksforgeeks.org/problems/merge-sort/1
Quick Sort,Sorting,Divide and Conquer,,https://www.geeksforgeeks.org/problems/quick-sort/1
Recursive Insertion Sort,Sorting,Recursion,,https://www.geeksforgeeks.org/problems/insertion-sort/1
Recursive Bubble Sort,Sorting,Recursion,,https://www.geeksforgeeks.org/problems/bubble-sort/1
